Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Number of Scaffolds
GCF_009827325.1	ASM982732v1	Qipengyuania vulgaris		DSM 17792					GCF_009827325.1-RS_2024_03_16	Contig	2020-01-02	WTYC01	
GCF_005250615.1	ASM525061v1	Pseudomonas rhizoryzae		RY24					GCF_005250615.1-RS_2024_04_03	Contig	2019-05-07	SULM01	
GCF_013002705.1	ASM1300270v1	Nakamurella aerolata		DB0629					GCF_013002705.1-RS_2024_05_05	Scaffold	2020-05-09	JABEND01	22
GCF_003646465.1	ASM364646v1	Chachezhania antarctica		SM1703					GCF_003646465.1-RS_2024_03_28	Scaffold	2018-10-15	QZEX01	50
GCF_026948345.1	ASM2694834v1	Dellaglioa carnosa		TMW 2.2523					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2022-12-16	JANXLI01	
GCF_030412945.1	ASM3041294v1	Shiella aurantiaca		LB-30					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-07-08	JAUHJS01	21
GCF_013366375.1	ASM1336637v1	Schlegelella koreensis		ID0723					GCF_013366375.1-RS_2024_04_29	Contig	2020-06-22	JABWMJ01	
GCF_023283985.1	ASM2328398v1	Shewanella electrodiphila		DSM 24955					GCF_023283985.1-RS_2024_05_18	Contig	2022-05-09	JAKIKU01	
GCF_014645135.1	ASM1464513v1	Rheinheimera tangshanensis		CGMCC 1.6362					GCF_014645135.1-RS_2024_08_26	Scaffold	2020-09-12	BMLH01	25
GCF_002000085.1	ASM200008v1	Pseudocolwellia agarivorans		QM50					GCF_002000085.1-RS_2024_05_03	Scaffold	2017-02-15	MUZU01	51
GCF_016343785.1	ASM1634378v2	Alishewanella maricola		16-MA					GCF_016343785.1-RS_2024_08_08	Contig	2021-10-19	JAEINI02	
GCF_013761005.1	ASM1376100v1	Desulfosalsimonas propionicica		DSM 17721					GCF_013761005.1-RS_2024_07_03	Scaffold	2020-07-27	JACDUS01	28
GCF_021852965.1	ASM2185296v1	Vibrio floridensis		IRLE0018					GCF_021852965.1-RS_2024_03_15	Contig	2022-02-01	JAKGCY01	
GCF_003185655.1	ASM318565v1	Coraliomargarita sinensis		WN38					GCF_003185655.1-RS_2024_05_06	Contig	2018-06-04	QHJQ01	
GCF_014287795.1	ASM1428779v1	Christensenella tenuis		NSJ-35					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-08-24	JACOON01	
GCF_022810315.1	ASM2281031v1	Pseudomonas marianensis		PS1					GCF_022810315.1-RS_2024_03_28	Scaffold	2022-04-03	JALGRD01	103
GCF_010614725.1	ASM1061472v1	Flavobacterium ajazii		SSM4.2					GCF_010614725.1-RS_2024_10_23	Contig	2020-02-14	JAAEHL01	
GCF_021532655.1	ASM2153265v1	Paraglaciecola algarum		G1-23					GCF_021532655.1-RS_2024_08_18	Contig	2022-01-19	JAKGAS01	
GCF_020564625.1	ASM2056462v1	Leeia speluncae		TBRC 13508					GCF_020564625.1-RS_2024_09_02	Contig	2021-10-25	JAJBZT01	
GCF_002906165.1	ASM290616v1	Roseibium marinum		DSM 17023					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-01-29	PPCN01	
GCF_030362955.1	ASM3036295v1	Curtobacterium citri		RHCKG23					GCF_030362955.1-RS_2024_06_28	Contig	2023-06-27	JAUCML01	
GCF_001544835.2	Burkholderia sp. LMG 29320	Caballeronia fortuita					LMG 29320		GCF_001544835.2-RS_2024_09_15	Contig	2016-04-20	FCNX02	
GCF_010435915.1	ASM1043591v1	Spirosoma terrae		KCTC 52035					GCF_010435915.1-RS_2024_10_23	Contig	2020-02-11	JAAFZH01	
GCF_002750855.1	ASM275085v1	Pararhizobium haloflavum		XC0140					GCF_002750855.1-RS_2024_08_20	Contig	2017-11-05	NWUC01	
GCF_900411315.1	PRJEB24601	Corynebacterium senegalense		Marseille-P4329					GCF_900411315.1-RS_2024_05_04	Scaffold	2018-07-31	OVSI01	5
GCF_030586465.1	ASM3058646v1	Actinotalea lenta		SYSU T00b441					GCF_030586465.1-RS_2024_06_23	Scaffold	2023-08-02	JAUQYP01	3
GCF_014652315.1	ASM1465231v1	Jeongeupia chitinilytica		KCTC 23701					GCF_014652315.1-RS_2024_09_02	Contig	2020-09-12	BMYO01	
GCF_028649595.1	ASM2864959v1	Campylobacter magnus		46386					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-02-14	JAQSLK01	
GCF_024643205.1	ASM2464320v1	Parapedobacter tibetensis		C3-1-R+6					GCF_024643205.1-RS_2024_09_05	Contig	2022-08-12	JAMKQJ01	
GCF_020734105.1	ASM2073410v1	Alkalihalobacillus deserti		TRPH29					GCF_020734105.1-RS_2024_08_29	Contig	2021-11-02	JAJAFR01	
GCF_038321125.1	ASM3832112v1	Pseudoxanthomonas putridarboris		WD12					GCF_038321125.1-RS_2024_05_12	Scaffold	2024-04-16	JBBWWT01	25
GCF_017830045.1	ASM1783004v1	Enterococcus larvae		BWM-S5					GCF_017830045.1-RS_2024_05_26	Contig	2021-04-07	JAEDXU01	
GCF_008831125.1	ASM883112v1	Pseudoclavibacter caeni		JCM 16921					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-10-06	WBKA01	11
GCF_900101875.1	IMG-taxon 2671180113 annotated assembly	Mucilaginibacter pineti		47C3B					GCF_900101875.1-RS_2024_10_22	Contig	2016-10-21	FNAI01	
GCF_900101885.1	IMG-taxon 2619619010 annotated assembly	Dyadobacter soli		DSM 25329					GCF_900101885.1-RS_2024_09_16	Scaffold	2016-10-21	FNAN01	45
GCF_013167215.1	ASM1316721v1	Sphingobacterium prati		arapr2					GCF_013167215.1-RS_2024_05_05	Scaffold	2020-05-26	JABJWY01	39
GCF_002154225.1	ASM215422v1	Hymenobacter crusticola		MIMBbqt21					GCF_002154225.1-RS_2024_10_22	Contig	2017-05-22	MTSE01	
GCF_033977325.1	ASM3397732v1	Mesorhizobium vachelliae		VK25A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-29	JAVIIR01	
GCF_039529615.1	ASM3952961v1	Kribbella karoonensis		JCM 14304					GCF_039529615.1-RS_2024_05_10	Scaffold	2024-02-23	BAAAND01	21
GCF_020103695.1	ASM2010369v1	Hyalangium versicolor		H56D21					GCF_020103695.1-RS_2024_09_08	Scaffold	2021-09-23	JAHXBF01	101
GCF_002964605.1	ASM296460v1	Vallitalea okinawensis		S15					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2018-02-28	PQDH01	58
GCF_020819595.1	ASM2081959v1	Streptomyces barringtoniae		JA03					GCF_020819595.1-RS_2024_08_29	Contig	2021-11-09	JAJHNP01	
GCF_004331995.1	ASM433199v1	Arcanobacterium bovis		C605018/01/1					GCF_004331995.1-RS_2024_04_03	Contig	2019-03-05	SJDT01	
GCF_039542245.1	ASM3954224v1	Acinetobacter puyangensis		JCM 18011					GCF_039542245.1-RS_2024_05_11	Scaffold	2024-02-23	BAABHT01	36
GCF_033898525.1	ASM3389852v1	Terrihabitans rhizophilus		PJ23					GCF_033898525.1-RS_2024_04_21	Contig	2023-11-22	JAXAFJ01	
GCF_018070075.1	ASM1807007v1	Saccharopolyspora endophytica		KCTC 19397					GCF_018070075.1-RS_2024_08_29	Contig	2021-04-18	JAGPXE01	
GCF_014652815.1	ASM1465281v1	Alcaligenes pakistanensis		KCTC 42083					GCF_014652815.1-RS_2024_09_02	Scaffold	2020-09-12	BMZN01	16
GCF_014493765.1	ASM1449376v1	Streptomyces polyasparticus		TRM66268-LWL					GCF_014493765.1-RS_2024_08_02	Contig	2020-09-08	JACTVJ01	
GCF_011326755.1	ASM1132675v1	Cochlodiniinecator piscidefendens		M26A2M					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-03-16	JAAOIE01	21
GCF_900625095.1	PRJEB29216	Acinetobacter ihumii		Marseille-P8049					GCF_900625095.1-RS_2024_06_07	Scaffold	2018-12-05	UYYC01	18
GCF_003570905.1	ASM357090v1	Cohnella faecalis		K2E09-144					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-09-14	QXJM01	
GCF_009674535.1	ASM967453v1	Duganella guangzhouensis		FT80W					GCF_009674535.1-RS_2024_08_26	Contig	2019-11-19	WKJK01	
GCF_014596935.1	ASM1459693v1	Aestuariibaculum suncheonense		SC17					GCF_014596935.1-RS_2024_10_23	Scaffold	2020-09-15	JACVXC01	86
GCF_002205645.1	ASM220564v1	Roseateles aquatilis		CCUG 48205					GCF_002205645.1-RS_2024_09_19	Contig	2017-06-22	NIOF01	
GCF_017814275.1	ASM1781427v1	Gottfriedia endophytica		RG28					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2021-04-06	JAGIYQ01	34
GCF_009695815.1	ASM969581v1	Peptostreptococcus porci		WCA-SAB-591-4A-A					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-11-22	VUNE01	
GCF_902726565.1	IP38594v1	Yersinia vastinensis		IP38594					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-04-15	CACVAF01	
GCF_020880815.1	ASM2088081v1	Paraburkholderia sejongensis		MMS20-SJTR3					GCF_020880815.1-RS_2024_05_12	Scaffold	2021-11-15	JAJITD01	50
GCF_003003055.1	ASM300305v1	Jezberella montanilacus		MWH-P2sevCIIIb					GCF_003003055.1-RS_2024_09_22	Contig	2018-03-15	PVTV01	
GCF_003987255.1	ASM398725v1	Idiomarina ramblicola		R22					GCF_003987255.1-RS_2024_03_28	Contig	2018-12-31	PIQC01	
GCF_028561565.1	ASM2856156v1	Gilvibacter sediminis		NBRC 101626					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2023-02-08	JAQQTE01	23
GCF_009183655.1	ASM918365v1	Bacillus aerolatus		CX253					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2019-10-19	WEIO01	
GCF_003970385.1	ASM397038v1	Vibrio aquaticus		BEI207					GCF_003970385.1-RS_2024_08_07	Contig	2018-12-24	RXZH01	
GCF_016775155.1	ASM1677515v1	Fulvivirga marina		29W222					GCF_016775155.1-RS_2024_10_23	Scaffold	2021-01-31	JAEUGD01	69
GCF_009733815.1	ASM973381v1	Pseudactinotalea suaedae		KACC 17839					GCF_009733815.1-RS_2024_07_15	Contig	2019-12-06	WNXY01	
GCF_020618775.1	ASM2061877v1	Acidisoma silvae		HW T2.11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-10-26	JAESVB01	
GCF_001730365.1	ASM173036v1	Enterococcus quebecensis		LMG 26306					GCF_001730365.1-RS_2024_03_28	Contig	2016-09-16	MIKB01	
GCF_003610695.1	ASM361069v1	Epilithonimonas arachidiradicis		DSM 27620					GCF_003610695.1-RS_2024_04_27	Contig	2018-10-02	RAQH01	
GCF_023349125.1	ASM2334912v1	Shewanella corallii		DSM 21332					GCF_023349125.1-RS_2024_05_19	Contig	2022-05-12	JAKIKT01	
GCF_014287965.1	ASM1428796v1	Flintibacter hominis		New-19					GCF_014287965.1-RS_2024_07_15	Contig	2020-08-24	JACOPO01	
GCF_027570035.1	ASM2757003v1	Corynebacterium curieae		c8Ua_181					GCF_027570035.1-RS_2024_03_29	Contig	2023-01-04	JAKMUU01	
GCF_003003255.1	ASM300325v1	Aliiruegeria haliotis		DSM 29328					GCF_003003255.1-RS_2024_05_03	Contig	2018-03-15	PVTD01	
GCF_014651695.1	ASM1465169v1	Nocardiopsis terrae		KCTC 19431					GCF_014651695.1-RS_2024_09_02	Scaffold	2020-09-12	BMXJ01	23
GCF_015278255.1	ASM1527825v1	Microbacterium hibisci		CCTCC AB 2016180					GCF_015278255.1-RS_2024_08_29	Scaffold	2020-11-08	JADIJC01	18
GCF_014653115.1	ASM1465311v1	Nocardioides flavus (ex Wang et al. 2016)		CGMCC 1.12791					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BNAD01	41
GCF_024834045.1	ASM2483404v1	Neisseria montereyensis		CSL10203-ORH2					GCF_024834045.1-RS_2024_07_01	Contig	2022-09-01	JANUXW01	
GCF_003951095.1	ASM395109v1	Bifidobacterium goeldii		2034B					GCF_003951095.1-RS_2024_04_01	Contig	2018-12-17	QXGL01	
GCF_010122465.1	ASM1012246v1	Phytoactinopolyspora mesophila		XMNu-373					GCF_010122465.1-RS_2024_05_05	Scaffold	2020-02-04	WLZY01	27
GCF_021602345.1	ASM2160234v1	Pseudomonas pharyngis		BML-PP036					GCF_021602345.1-RS_2024_09_09	Contig	2021-11-22	BQID01	
GCF_014646035.1	ASM1464603v1	Nocardioides deserti		CGMCC 4.7183					GCF_014646035.1-RS_2024_09_02	Scaffold	2020-09-12	BMMR01	16
GCF_012910715.1	ASM1291071v1	Flavivirga algicola		Y03					GCF_012910715.1-RS_2024_10_23	Scaffold	2020-04-27	JABBHF01	37
GCF_008041935.1	ASM804193v1	Quadrisphaera setariae		DD2A					GCF_008041935.1-RS_2024_08_08	Scaffold	2019-08-21	VKAC01	33
GCF_004011865.1	ASM401186v1	Prescottella agglutinans		CCTCC AB2014297					GCF_004011865.1-RS_2024_04_03	Contig	2019-01-10	RKLP01	
GCF_036621135.1	ASM3662113v1	Aquincola agrisoli		MAHUQ-54					GCF_036621135.1-RS_2024_05_12	Contig	2024-02-14	JAZIBG01	
GCF_033949425.1	ASM3394942v1	Patulibacter brassicae		SD					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-25	JAXAVX01	
GCF_023145695.1	ASM2314569v1	Vibrio amylolyticus		ZSDE26					GCF_023145695.1-RS_2024_05_13	Contig	2022-04-27	JAJHVV01	
GCF_022171985.1	ASM2217198v1	Huaxiibacter chinensis		155047					GCF_022171985.1-RS_2024_09_14	Contig	2022-02-10	JAJVHF01	
GCF_039537985.1	ASM3953798v1	Litoribacillus peritrichatus		JCM 17551					GCF_039537985.1-RS_2024_05_10	Scaffold	2024-02-23	BAABBN01	17
GCF_900106565.1	IMG-taxon 2693429896 annotated assembly	Lutibacter oricola		DSM 24956					GCF_900106565.1-RS_2024_10_22	Contig	2016-10-22	FNNJ01	
GCF_014646195.1	ASM1464619v1	Microlunatus endophyticus		CGMCC 4.7306					GCF_014646195.1-RS_2024_09_02	Contig	2020-09-12	BMMZ01	
GCF_016827595.1	ASM1682759v1	Luteirhabdus pelagi		A3-108					GCF_016827595.1-RS_2024_10_23	Scaffold	2021-02-07	JAECMS01	57
GCF_900113525.1	IMG-taxon 2634166297 annotated assembly	Pedobacter insulae		DSM 18684					GCF_900113525.1-RS_2024_10_22	Contig	2016-11-02	FOPP01	
GCF_001243895.1	Bacillus testis	Bacillus testis		SIT10					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2015-07-21	CVQX01	9
GCF_018918345.1	ASM1891834v1	Butyricicoccus intestinisimiae		MSJd-7					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-06-16	JAHLQI01	
GCF_027257905.1	ASM2725790v1	Coraliomargarita parva		WMMB3					GCF_027257905.1-RS_2024_05_12	Contig	2022-12-23	JAPZEI01	
GCF_014145335.1	ASM1414533v1	Aquariibacter albus		SJAQ100					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-08-10	JACIVI01	11
GCF_002077945.1	ASM207794v1	Niastella vici		DJ57					GCF_002077945.1-RS_2024_10_22	Contig	2017-04-03	LVYD01	
GCF_019795105.1	ASM1979510v1	Collinsella ureilytica		AGMB00827					GCF_019795105.1-RS_2024_08_24	Contig	2021-08-29	JAIMFO01	
GCF_014203645.1	ASM1420364v1	Streptomyces zagrosensis		CECT 8305					GCF_014203645.1-RS_2024_09_29	Contig	2020-08-14	JACHJL01	
GCF_014193515.1	ASM1419351v1	Geomonas silvestris		Red330					GCF_014193515.1-RS_2024_08_26	Contig	2020-08-06	BLXX01	
GCF_003289645.1	ASM328964v1	Actinomadura craniellae		LHW63021					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-07-06	QLYX01	
GCF_002262875.1	ASM226287v1	Amycolatopsis antarctica		AU-G6					GCF_002262875.1-RS_2024_03_28	Contig	2017-08-22	NKYE01	
GCF_014652655.1	ASM1465265v1	Amylibacter ulvae		KCTC 32465					GCF_014652655.1-RS_2024_09_02	Contig	2020-09-12	BMZF01	
GCF_900302445.1	P.abyssalisCECT8504_Spades_Prokka	Palleronia abyssalis		CECT 8504					GCF_900302445.1-RS_2024_08_20	Contig	2018-04-24	ONZF01	
GCF_014218725.1	ASM1421872v1	Brevundimonas huaxiensis		090558					GCF_014218725.1-RS_2024_10_23	Contig	2020-08-17	JABBJE01	
GCF_000717745.1	ASM71774v1	Streptomyces violens		NRRL ISP-5597					GCF_000717745.1-RS_2024_05_02	Contig	2014-07-02	JOBH01	
GCF_026162365.1	ASM2616236v1	Nitratireductor luteus		SC-ST17					GCF_026162365.1-RS_2024_03_28	Contig	2022-11-13	JAOANW01	
GCF_002266285.1	ASM226628v1	Virgibacillus indicus		P2-C2					GCF_002266285.1-RS_2024_03_28	Contig	2017-08-22	NPMS01	
GCF_014649755.1	ASM1464975v1	Streptomyces litmocidini		JCM 4394					GCF_014649755.1-RS_2024_09_02	Scaffold	2020-09-12	BMTQ01	87
GCF_003856525.1	ASM385652v1	Vibrio viridaestus		LJC006					GCF_003856525.1-RS_2024_08_07	Contig	2018-12-03	RJVQ01	
GCF_014646375.1	ASM1464637v1	Nocardioides phosphati		CGMCC 4.7371					GCF_014646375.1-RS_2024_09_02	Scaffold	2020-09-12	BMNI01	28
GCF_024752305.1	ASM2475230v1	Protaetiibacter mangrovi		10F1B-8-1					GCF_024752305.1-RS_2024_09_02	Scaffold	2022-08-27	JANTHX01	16
GCF_014643595.1	ASM1464359v1	Lysinibacillus alkalisoli		CGMCC 1.15760					GCF_014643595.1-RS_2024_09_02	Contig	2020-09-12	BMJT01	
GCF_014648435.1	ASM1464843v1	Nonomuraea spiralis		JCM 3286					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-09-12	BMRC01	104
GCF_004122105.1	ASM412210v1	Flavobacterium stagni		WWJ-16					GCF_004122105.1-RS_2024_10_23	Contig	2019-01-30	SBKN01	
GCF_002744715.1	ASM274471v1	Marinobacter profundi		PWS21					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2017-10-26	NTFH01	32
GCF_007923295.1	ASM792329v1	Agrococcus sediminis		NS18					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-08-09	VOIR01	19
GCF_002233675.1	ASM223367v1	Paenibacillus herberti		R33					GCF_002233675.1-RS_2024_05_03	Scaffold	2017-07-26	NMUQ01	17
GCF_015319165.1	ASM1531916v1	Nocardioides acrostichi		CBS4Y-1					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2020-11-09	JADIVZ01	32
GCF_003604195.1	ASM360419v1	Simplicispira lacusdiani		CPCC 100842					GCF_003604195.1-RS_2024_08_20	Scaffold	2018-10-01	QXGR01	55
GCF_026241195.1	ASM2624119v1	Pontibacter anaerobius		M82					GCF_026241195.1-RS_2024_08_08	Contig	2022-11-20	JAPFQO01	
GCF_014648635.1	ASM1464863v1	Streptomyces cinerochromogenes		JCM 3385					GCF_014648635.1-RS_2024_09_02	Scaffold	2020-09-12	BMRM01	63
GCF_014653785.1	ASM1465378v1	Promicromonospora soli		CGMCC 4.7398					GCF_014653785.1-RS_2024_09_02	Scaffold	2020-09-12	BNAS01	20
GCF_017355885.1	ASM1735588v1	Sabulicella rubraurantiaca		SYSU D01096					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2021-03-15	JAFEUU01	
GCF_039541875.1	ASM3954187v1	Nibrella viscosa		JCM 17925					GCF_039541875.1-RS_2024_08_15	Scaffold	2024-02-23	BAABHB01	60
GCF_021728415.1	ASM2172841v1	Flaviramulus multivorans		M-M16					GCF_021728415.1-RS_2024_08_08	Scaffold	2022-01-30	JAKKDV01	11
GCF_008369015.1	ASM836901v1	Oryzomonas rubra		Red88					GCF_008369015.1-RS_2024_03_28	Contig	2019-09-10	SRSD01	
GCF_030363035.1	ASM3036303v1	Curtobacterium caseinilyticum		RHCKG28					GCF_030363035.1-RS_2024_06_28	Contig	2023-06-27	JAUCMN01	
GCF_040095835.1	ASM4009583v1	Flavonifractor hominis		CLA-AP-H34					GCF_040095835.1-RS_2024_07_07	Contig	2024-06-07	JBBMFT01	
GCF_000971965.1	ASM97196v1	Paenibacillus wulumuqiensis		Y24					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2015-04-15	LAQP01	33
GCF_002849615.1	ASM284961v1	Pollutimonas nitritireducens		JR1/69-2-13					GCF_002849615.1-RS_2024_08_08	Contig	2018-01-02	PDNV01	
GCF_002994005.1	ASM299400v1	Apilactobacillus quenuiae		HV_6					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-03-12	POSN01	
GCF_003002065.1	ASM300206v1	Pseudosporangium ferrugineum		DSM 45348					GCF_003002065.1-RS_2024_05_03	Scaffold	2018-03-15	PVZG01	92
GCF_006494535.1	ASM649453v1	Paucihalobacter ruber		CWB-1					GCF_006494535.1-RS_2024_10_23	Scaffold	2019-06-26	VHIQ01	20
GCF_014287615.1	ASM1428761v1	Blautia celeris		NSJ-34					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-08-24	JACOOU01	
GCF_006170445.1	ASM617044v1	Brevibacillus dissolubilis		CHY01					GCF_006170445.1-RS_2024_07_31	Contig	2019-06-10	VCNA01	
GCF_004336975.1	ASM433697v1	Corallincola luteus		DASS28					GCF_004336975.1-RS_2024_03_28	Scaffold	2019-03-09	SJXE01	29
GCF_902500225.1	P9829	Buttiauxella massiliensis		Marseille-P9829					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Scaffold	2019-09-30	CABVOV01	46
GCF_900111375.1	IMG-taxon 2671180066 annotated assembly	Pedococcus cremeus		CGMCC 1.6963					GCF_900111375.1-RS_2024_05_03	Scaffold	2016-10-31	FOHB01	18
GCF_004137355.1	ASM413735v1	Ciceribacter ferrooxidans		F8825					GCF_004137355.1-RS_2024_08_07	Scaffold	2019-02-04	SDVB01	427
GCF_900258485.1	PRJEB22822	Helcococcus massiliensis		Marseille-P4590					GCF_900258485.1-RS_2024_08_20	Contig	2018-02-04	OGVE01	
GCF_900111005.1	IMG-taxon 2619619034 annotated assembly	Lentzea albida		DSM 44437					GCF_900111005.1-RS_2024_05_03	Scaffold	2016-10-31	FOFV01	40
GCF_033977345.1	ASM3397734v1	Mesorhizobium dulcispinae		VK23D					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2023-11-29	JAVIIY01	
GCF_000735715.2	ASM73571v2	Flavobacterium chungangense LMG 26729		LMG 26729					GCF_000735715.2-RS_2024_10_22	Contig	2014-07-29	JASY01	
GCF_013415115.1	ASM1341511v1	Vreelandella zhaodongensis		NEAU-ST10-25					GCF_013415115.1-RS_2024_08_25	Contig	2020-07-14	JACCDD01	
GCF_008373765.1	ASM837376v1	Nocardioides antri		BN140041					GCF_008373765.1-RS_2024_07_31	Scaffold	2019-09-12	VUJW01	237
GCF_014649735.1	ASM1464973v1	Streptomyces lavendofoliae		JCM 4391					GCF_014649735.1-RS_2024_09_02	Scaffold	2020-09-12	BMTP01	70
GCF_010499255.1	ASM1049925v1	Sheuella amnicola		NBD-18					GCF_010499255.1-RS_2024_09_24	Contig	2020-02-12	JAAGRN01	
GCF_008386465.1	ASM838646v1	Arenimonas fontis		3729k					GCF_008386465.1-RS_2024_05_04	Contig	2019-09-15	VUOD01	
GCF_003719725.1	ASM371972v1	Planococcus salinus		LCB217					GCF_003719725.1-RS_2024_03_28	Contig	2018-11-10	RIAX01	
GCF_900186615.1	PRJEB21317	Parabacteroides bouchesdurhonensis		Marseille-P3763					GCF_900186615.1-RS_2024_03_29	Scaffold	2018-01-02	FYCK01	2
GCF_013184545.1	ASM1318454v1	Pseudomonas tumuqii		LAMW06					GCF_013184545.1-RS_2024_10_11	Contig	2020-05-28	JAAOJA01	
GCF_014779715.1	ASM1477971v1	Streptomyces chumphonensis		KK1-2					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2020-09-28	JACXYU01	
GCF_003313335.1	ASM331333v1	Nubsella zeaxanthinifaciens		TDMA-5					GCF_003313335.1-RS_2024_08_20	Scaffold	2018-07-11	QMHP01	26
GCF_003385955.1	ASM338595v1	Aestuariispira insulae		CECT 8488					GCF_003385955.1-RS_2024_05_04	Scaffold	2018-08-14	QRDW01	49
GCF_014199915.1	ASM1419991v1	Prosthecomicrobium pneumaticum		DSM 16268					GCF_014199915.1-RS_2024_05_05	Scaffold	2020-08-14	JACHOO01	24
GCF_000702665.1	ASM70266v1	Solidesulfovibrio alcoholivorans DSM 5433		DSM 5433					GCF_000702665.1-RS_2024_05_02	Contig	2014-06-11	JNJA01	
GCF_020400655.1	ASM2040065v1	Streptomyces spinosus		SBTS01					GCF_020400655.1-RS_2024_08_29	Contig	2021-10-08	JAINRC01	
GCF_003362725.1	ASM336272v1	Winogradskyella aurantiaca		IMCC20180					GCF_003362725.1-RS_2024_10_23	Contig	2018-08-06	QKTV01	
GCF_030814995.1	ASM3081499v1	Labrys wisconsinensis		DSM 19619					GCF_030814995.1-RS_2024_08_20	Contig	2023-08-18	JAUSVX01	
GCF_039536545.1	ASM3953654v1	Microbacterium awajiense		JCM 16544					GCF_039536545.1-RS_2024_05_10	Scaffold	2024-02-23	BAAAYU01	6
GCF_001927285.1	ASM192728v1	Mongoliimonas terrestris		MIMtkB18					GCF_001927285.1-RS_2024_04_30	Contig	2016-12-31	MSIG01	
GCF_003350535.1	ASM335053v1	Microvirga subterranea		DSM 14364					GCF_003350535.1-RS_2024_05_01	Scaffold	2018-07-31	QQBB01	36
GCF_900302505.1	P.insulaeCECT8871_Spades_Prokka	Pseudoprimorskyibacter insulae		CECT 8871					GCF_900302505.1-RS_2024_08_20	Contig	2018-04-24	OMOJ01	
GCF_002763455.1	ASM276345v1	Lentibacillus sediminis		0W14					GCF_002763455.1-RS_2024_03_28	Contig	2017-11-13	NIXK01	
GCF_017883985.1	ASM1788398v1	Streptococcus oricebi		CCUG 70868					GCF_017883985.1-RS_2024_03_28	Scaffold	2021-04-08	PRDG01	14
GCF_010550695.1	ASM1055069v1	Phytoactinopolyspora alkaliphila		CGMCC 4.7225					GCF_010550695.1-RS_2024_05_05	Scaffold	2020-02-13	JAAGOB01	33
GCF_003056335.1	ASM305633v1	Paracoccus indicus		IO390502					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Contig	2018-04-18	PYWA01	
GCF_039539585.1	ASM3953958v1	Hymenobacter glaciei		JCM 17225					GCF_039539585.1-RS_2024_05_11	Scaffold	2024-02-23	BAABDK01	46
GCF_030028905.1	ASM3002890v1	Ferirhizobium litorale		KMM 9576					GCF_030028905.1-RS_2024_08_25	Contig	2023-05-17	JALDYZ01	
GCF_007923355.1	ASM792335v1	Phaeobacter marinintestinus		UB-M7					GCF_007923355.1-RS_2024_05_04	Contig	2019-08-09	VOGO01	
GCF_001273835.1	CBX151_1.0	Leucobacter celer subsp. astrifaciens		CBX151					GCF_001273835.1-RS_2024_10_22	Contig	2015-08-25	JHEI01	
