Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_CP097562.1	1066529	1067179		minus	4Fe-4S dicluster domain-containing protein		0	protein-coding		WP_023275306.1	216	N508_RS05000
NZ_CP097562.1	1067190	1070264		minus	molybdopterin-dependent oxidoreductase		0	protein-coding		WP_023275307.1	1024	N508_RS05005
NZ_CP097562.1	1070417	1070602		minus	twin-arginine translocation signal domain-containing protein		0	protein-coding		WP_023275308.1	61	N508_RS05010
NZ_CP097562.1	1070889	1072022		minus	sodium ion-translocating decarboxylase subunit beta		0	protein-coding		WP_023275309.1	377	N508_RS05015
NZ_CP097562.1	1072049	1072477		minus	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit		0	protein-coding		WP_023275310.1	142	N508_RS05020
NZ_CP097562.1	1072511	1072960		minus	OadG family protein		0	protein-coding		WP_023275311.1	149	N508_RS05025
NZ_CP097562.1	1072970	1074520		minus	acyl-CoA carboxylase subunit beta		0	protein-coding		WP_023275312.1	516	N508_RS05030
NZ_CP097562.1	1075005	1076591		minus	DEAD/DEAH box helicase		0	protein-coding		WP_023275313.1	528	N508_RS05035
NZ_CP097562.1	1077675	1078091		minus	HIT family protein		0	protein-coding		WP_023275314.1	138	N508_RS05040
NZ_CP097562.1	1078758	1079336		plus	hypothetical protein		0	protein-coding		WP_023275315.1	192	N508_RS05045
NZ_CP097562.1	1079336	1079695		plus	response regulator		0	protein-coding		WP_023275316.1	119	N508_RS05050
NZ_CP097562.1	1079714	1080805		plus	HDOD domain-containing protein		0	protein-coding		WP_023275317.1	363	N508_RS05055
NZ_CP097562.1	1080795	1082372		plus	PP2C family protein-serine/threonine phosphatase		0	protein-coding		WP_023275318.1	525	N508_RS05060
NZ_CP097562.1	1082351	1083052		plus	"bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE"	ubiE	0	protein-coding		WP_023275319.1	233	N508_RS05065
NZ_CP097562.1	1083056	1083823		minus	R.Pab1 family restriction endonuclease		0	protein-coding		WP_023275320.1	255	N508_RS05070
NZ_CP097562.1	1083820	1084923		minus	methyltransferase domain-containing protein		0	protein-coding		WP_023275321.1	367	N508_RS05075
NZ_CP097562.1	1084957	1085481		minus	hypothetical protein		0	protein-coding		WP_023275322.1	174	N508_RS05080
NZ_CP097562.1	1085523	1087664		minus	molybdopterin-dependent oxidoreductase		0	protein-coding		WP_023275323.1	713	N508_RS05085
NZ_CP097562.1	1087664	1089601		minus	FAD-dependent oxidoreductase		0	protein-coding		WP_023275324.1	645	N508_RS05090
NZ_CP097562.1	1089947	1090549		plus	tetratricopeptide repeat protein		0	protein-coding		WP_023275325.1	200	N508_RS05095
NZ_CP097562.1	1090551	1091099		plus	GNAT family N-acetyltransferase		0	protein-coding		WP_023275326.1	182	N508_RS05100
NZ_CP097562.1	1091094	1091294		minus	hypothetical protein		0	protein-coding		WP_023275327.1	66	N508_RS05105
NZ_CP097562.1	1091392	1093185		minus	hypothetical protein		0	protein-coding		WP_023275328.1	597	N508_RS05110
NZ_CP097562.1	1093319	1093693		minus	NifB/NifX family molybdenum-iron cluster-binding protein		0	protein-coding		WP_023275329.1	124	N508_RS05115
NZ_CP097562.1	1093706	1094533		minus	P-loop NTPase		0	protein-coding		WP_023275330.1	275	N508_RS05120
NZ_CP097562.1	1094567	1094917		minus	DUF134 domain-containing protein		0	protein-coding		WP_023275331.1	116	N508_RS05125
NZ_CP097562.1	1095242	1097110		plus	rhamnan synthesis F family protein		0	protein-coding		WP_023275332.1	622	N508_RS05130
NZ_CP097562.1	1097431	1097504		minus	tRNA-Met		0	tRNA				N508_RS05135
NZ_CP097562.1	1097513	1097586		minus	tRNA-Met		0	tRNA				N508_RS05140
NZ_CP097562.1	1097686	1098114		minus	PaaI family thioesterase		0	protein-coding		WP_023275333.1	142	N508_RS05145
NZ_CP097562.1	1098365	1099135		plus	MBL fold metallo-hydrolase		0	protein-coding		WP_023275334.1	256	N508_RS05150
NZ_CP097562.1	1099368	1100912		plus	sodium/proton antiporter NhaB	nhaB	0	protein-coding		WP_023275335.1	514	N508_RS05155
NZ_CP097562.1	1100967	1101716		plus	suppressor of fused domain protein		0	protein-coding		WP_023275336.1	249	N508_RS05160
NZ_CP097562.1	1101836	1102948		plus	tRNA guanosine(34) transglycosylase Tgt	tgt	0	protein-coding		WP_023275337.1	370	N508_RS05165
NZ_CP097562.1	1102977	1103339		plus	preprotein translocase subunit YajC	yajC	0	protein-coding		WP_023275338.1	120	N508_RS05170
NZ_CP097562.1	1103343	1104902		plus	protein translocase subunit SecD	secD	0	protein-coding		WP_023275339.1	519	N508_RS05175
NZ_CP097562.1	1104916	1105833		plus	protein translocase subunit SecF	secF	0	protein-coding		WP_023275340.1	305	N508_RS05180
NZ_CP097562.1	1106025	1107071		minus	pseudaminic acid synthase	pseI	0	protein-coding		WP_023275341.1	348	N508_RS05185
NZ_CP097562.1	1107073	1107804		minus	glycosyltransferase family protein		0	protein-coding		WP_023275342.1	243	N508_RS05190
NZ_CP097562.1	1107876	1108547		minus	methyltransferase domain-containing protein		0	protein-coding		WP_023275343.1	223	N508_RS05195
NZ_CP097562.1	1108540	1109697		minus	ATP-grasp domain-containing protein		0	protein-coding		WP_023275344.1	385	N508_RS05200
NZ_CP097562.1	1109698	1110936		minus	dicarboxylate/amino acid:cation symporter		0	protein-coding		WP_051350759.1	412	N508_RS05205
NZ_CP097562.1	1111172	1112053		plus	metallophosphoesterase		0	protein-coding		WP_023275346.1	293	N508_RS05210
NZ_CP097562.1	1112055	1112933		plus	metallophosphoesterase		0	protein-coding		WP_023275347.1	292	N508_RS05215
NZ_CP097562.1	1112918	1114792		plus	LTA synthase family protein		0	protein-coding		WP_076654041.1	624	N508_RS05220
NZ_CP097562.1	1114792	1115364		plus	"RNA 2',3'-cyclic phosphodiesterase"	thpR	0	protein-coding		WP_023275350.1	190	N508_RS05225
NZ_CP097562.1	1115606	1116946		minus	ATP-dependent protease ATPase subunit HslU	hslU	0	protein-coding		WP_023275351.1	446	N508_RS05230
NZ_CP097562.1	1116962	1117507		minus	ATP-dependent protease subunit HslV	hslV	0	protein-coding		WP_023275352.1	181	N508_RS05235
NZ_CP097562.1	1117678	1118322		plus	lysophospholipid acyltransferase family protein		0	protein-coding		WP_023275353.1	214	N508_RS05240
NZ_CP097562.1	1118334	1119563		plus	glycosyltransferase N-terminal domain-containing protein		0	protein-coding		WP_023275354.1	409	N508_RS05245
NZ_CP097562.1	1119574	1120473		plus	hypothetical protein		0	protein-coding		WP_023275355.1	299	N508_RS05250
NZ_CP097562.1	1120473	1121054		plus	"D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase"	gmhB	0	protein-coding		WP_023275356.1	193	N508_RS05255
NZ_CP097562.1	1121113	1121508		plus	rhodanese-like domain-containing protein		0	protein-coding		WP_023275357.1	131	N508_RS05260
NZ_CP097562.1	1121545	1121910		plus	response regulator		0	protein-coding		WP_023275358.1	121	N508_RS05265
NZ_CP097562.1	1122202	1122333		minus	hypothetical protein		0	protein-coding		WP_283805222.1	43	N508_RS10930
NZ_CP097562.1	1122605	1123192		minus	hypothetical protein		0	protein-coding		WP_023275359.1	195	N508_RS05270
NZ_CP097562.1	1123829	1124410		plus	imidazoleglycerol-phosphate dehydratase HisB	hisB	0	protein-coding		WP_023275360.1	193	N508_RS05275
NZ_CP097562.1	1124412	1125026		plus	imidazole glycerol phosphate synthase subunit HisH	hisH	0	protein-coding		WP_023275361.1	204	N508_RS05280
NZ_CP097562.1	1125046	1125759		plus	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	hisA	0	protein-coding		WP_023275362.1	237	N508_RS05285
NZ_CP097562.1	1125771	1126247		plus	phosphatidylglycerophosphatase A		0	protein-coding		WP_023275363.1	158	N508_RS05290
NZ_CP097562.1	1126262	1127494		plus	CinA family nicotinamide mononucleotide deamidase-related protein		0	protein-coding		WP_023275364.1	410	N508_RS05295
NZ_CP097562.1	1127481	1128413		plus	hypothetical protein		0	protein-coding		WP_023275365.1	310	N508_RS05300
NZ_CP097562.1	1128637	1129407		plus	hypothetical protein		0	protein-coding		WP_023275366.1	256	N508_RS05305
NZ_CP097562.1	1129415	1130356		plus	riboflavin biosynthesis protein RibF	ribF	0	protein-coding		WP_023275367.1	313	N508_RS05310
NZ_CP097562.1	1130365	1131678		plus	30S ribosomal protein S12 methylthiotransferase RimO	rimO	0	protein-coding		WP_023275368.1	437	N508_RS05315
NZ_CP097562.1	1131671	1132612		plus	outer membrane protein assembly factor BamD	bamD	0	protein-coding		WP_023275369.1	313	N508_RS05320
NZ_CP097562.1	1132657	1133928		plus	serine--tRNA ligase	serS	0	protein-coding		WP_023275370.1	423	N508_RS05325
NZ_CP097562.1	1133934	1134596		plus	SAM-dependent methyltransferase		0	protein-coding		WP_023275371.1	220	N508_RS05330
NZ_CP097562.1	1135470	1138013		minus	DNA mismatch repair protein MutS	mutS	0	protein-coding		WP_023275372.1	847	N508_RS05335
NZ_CP097562.1	1138031	1139131		minus	hypothetical protein		0	protein-coding		WP_023275373.1	366	N508_RS05340
NZ_CP097562.1	1139136	1139528		minus	LapA family protein		0	protein-coding		WP_023275374.1	130	N508_RS05345
NZ_CP097562.1	1139512	1140018		minus	HIT domain-containing protein		0	protein-coding		WP_023275375.1	168	N508_RS05350
NZ_CP097562.1	1140085	1141209		minus	MFS transporter		0	protein-coding		WP_023275376.1	374	N508_RS05355
NZ_CP097562.1	1141482	1141664		plus	hypothetical protein		0	protein-coding		WP_023275377.1	60	N508_RS05360
NZ_CP097562.1	1141964	1143049		plus	DegT/DnrJ/EryC1/StrS family aminotransferase		0	protein-coding		WP_023275378.1	361	N508_RS05365
NZ_CP097562.1	1143040	1144002		plus	glycosyltransferase		0	protein-coding		WP_023275379.1	320	N508_RS05370
NZ_CP097562.1	1144046	1145323		plus	ATP-grasp domain-containing protein		0	protein-coding		WP_023275380.1	425	N508_RS05375
NZ_CP097562.1	1145326	1147623		plus	CDP-glycerol glycerophosphotransferase family protein		0	protein-coding		WP_023275381.1	765	N508_RS05380
NZ_CP097562.1	1147634	1148326		plus	IspD/TarI family cytidylyltransferase		0	protein-coding		WP_023275382.1	230	N508_RS05385
NZ_CP097562.1	1148328	1149365		plus	NAD-dependent epimerase/dehydratase family protein		0	protein-coding		WP_023275383.1	345	N508_RS05390
NZ_CP097562.1	1149358	1150056		plus	L-ribulose-5-phosphate 4-epimerase AraD	araD	0	protein-coding		WP_023275384.1	232	N508_RS05395
NZ_CP097562.1	1150070	1151560		plus	MBOAT family O-acyltransferase		0	protein-coding		WP_023275385.1	496	N508_RS05400
NZ_CP097562.1	1151568	1152995		plus	hypothetical protein		0	protein-coding		WP_023275386.1	475	N508_RS05405
NZ_CP097562.1	1153075	1153893		plus	ABC transporter permease		0	protein-coding		WP_023275387.1	272	N508_RS05410
NZ_CP097562.1	1153907	1154647		plus	ABC transporter ATP-binding protein		0	protein-coding		WP_023275388.1	246	N508_RS05415
NZ_CP097562.1	1155118	1156083		minus	UDP-glucose 4-epimerase GalE	galE	0	protein-coding		WP_040636520.1	321	N508_RS05420
NZ_CP097562.1	1156321	1157175		minus	dTDP-4-dehydrorhamnose reductase	rfbD	0	protein-coding		WP_023275390.1	284	N508_RS05425
NZ_CP097562.1	1157244	1158263		minus	"dTDP-glucose 4,6-dehydratase"	rfbB	0	protein-coding		WP_023275391.1	339	N508_RS05430
NZ_CP097562.1	1158280	1158831		minus	"dTDP-4-dehydrorhamnose 3,5-epimerase"	rfbC	0	protein-coding		WP_023275392.1	183	N508_RS05435
NZ_CP097562.1	1158840	1159718		minus	glucose-1-phosphate thymidylyltransferase RfbA	rfbA	0	protein-coding		WP_023275393.1	292	N508_RS05440
NZ_CP097562.1	1159856	1160932		minus	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobT	0	protein-coding		WP_023275394.1	358	N508_RS05445
NZ_CP097562.1	1160936	1161562		minus	precorrin-8X methylmutase		0	protein-coding		WP_023275395.1	208	N508_RS05450
NZ_CP097562.1	1161571	1162104		minus	"cob(I)yrinic acid a,c-diamide adenosyltransferase"		0	protein-coding		WP_023275396.1	177	N508_RS05455
NZ_CP097562.1	1162107	1163597		minus	cobyric acid synthase		0	protein-coding		WP_023275397.1	496	N508_RS05460
NZ_CP097562.1	1163590	1164213		minus	histidinol-phosphate transaminase		0	protein-coding		WP_251930674.1	207	N508_RS05465
NZ_CP097562.1	1164234	1164635		minus	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme		0	protein-coding		WP_251930675.1	133	N508_RS05470
NZ_CP097562.1	1164641	1165618		minus	adenosylcobinamide-phosphate synthase CbiB	cbiB	0	protein-coding		WP_023275399.1	325	N508_RS05475
NZ_CP097562.1	1165644	1166234		minus	histidine phosphatase family protein		0	protein-coding		WP_023275400.1	196	N508_RS05480
NZ_CP097562.1	1166231	1166623		minus	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase		0	protein-coding		WP_023275401.1	130	N508_RS05485
NZ_CP097562.1	1166614	1167390		minus	adenosylcobinamide-GDP ribazoletransferase	cobS	0	protein-coding		WP_023275402.1	258	N508_RS05490
NZ_CP097562.1	1167387	1167890		minus	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase		0	protein-coding		WP_023275403.1	167	N508_RS05495
NZ_CP097562.1	1167887	1169227		minus	"cobyrinate a,c-diamide synthase"		0	protein-coding		WP_023275404.1	446	N508_RS05500
NZ_CP097562.1	1169228	1170415		minus	bifunctional cobalt-precorrin-7 (C(5))-methyltransferase/cobalt-precorrin-6B (C(15))-methyltransferase		0	protein-coding		WP_023275405.1	395	N508_RS05505
NZ_CP097562.1	1170420	1170782		minus	CbiX/SirB N-terminal domain-containing protein		0	protein-coding		WP_023275406.1	120	N508_RS05510
NZ_CP097562.1	1170788	1172281		minus	uroporphyrinogen-III C-methyltransferase	cobA	0	protein-coding		WP_023275407.1	497	N508_RS05515
NZ_CP097562.1	1172257	1172712		minus	NAD(P)-dependent oxidoreductase		0	protein-coding		WP_023275408.1	151	N508_RS05520
NZ_CP097562.1	1172712	1173482		minus	precorrin-6A reductase	cobK	0	protein-coding		WP_023275409.1	256	N508_RS05525
NZ_CP097562.1	1173479	1174210		minus	precorrin-3B C(17)-methyltransferase	cobJ	0	protein-coding		WP_023275410.1	243	N508_RS05530
NZ_CP097562.1	1174223	1175239		minus	cobalt-precorrin 5A hydrolase	cbiG	0	protein-coding		WP_023275411.1	338	N508_RS05535
NZ_CP097562.1	1175232	1175990		minus	precorrin-4 C(11)-methyltransferase	cobM	0	protein-coding		WP_023275412.1	252	N508_RS05540
NZ_CP097562.1	1175995	1176678		minus	precorrin-2 C(20)-methyltransferase	cobI	0	protein-coding		WP_023275413.1	227	N508_RS05545
NZ_CP097562.1	1176681	1177805		minus	cobalt-precorrin-5B (C(1))-methyltransferase CbiD	cbiD	0	protein-coding		WP_023275414.1	374	N508_RS05550
NZ_CP097562.1	1177789	1178640		minus	ATP-binding cassette domain-containing protein		0	protein-coding		WP_023275415.1	283	N508_RS05555
NZ_CP097562.1	1178637	1179398		minus	cobalt ECF transporter T component CbiQ	cbiQ	0	protein-coding		WP_023275416.1	253	N508_RS05560
NZ_CP097562.1	1179401	1179679		minus	energy-coupling factor ABC transporter substrate-binding protein		0	protein-coding		WP_023275417.1	92	N508_RS05565
NZ_CP097562.1	1179690	1180427		minus	energy-coupling factor ABC transporter permease		0	protein-coding		WP_023275418.1	245	N508_RS05570
NZ_CP097562.1	1181003	1182208		plus	hypothetical protein		0	protein-coding		WP_023275419.1	401	N508_RS05575
NZ_CP097562.1	1182225	1184153		minus	DUF4105 domain-containing protein		0	protein-coding		WP_023275420.1	642	N508_RS05580
NZ_CP097562.1	1184175	1184633		minus	DUF3015 family protein		0	protein-coding		WP_023275421.1	152	N508_RS05585
NZ_CP097562.1	1184756	1185592		minus	alpha/beta hydrolase		0	protein-coding		WP_023275422.1	278	N508_RS05590
NZ_CP097562.1	1186015	1187247		minus	acetate kinase		0	protein-coding		WP_023275423.1	410	N508_RS05595
NZ_CP097562.1	1187247	1188254		minus	phosphate acetyltransferase	pta	0	protein-coding		WP_023275424.1	335	N508_RS05600
NZ_CP097562.1	1188260	1188910		minus	3-oxoacid CoA-transferase subunit B		0	protein-coding		WP_023275425.1	216	N508_RS05605
NZ_CP097562.1	1188921	1189571		minus	3-oxoacid CoA-transferase subunit A		0	protein-coding		WP_023275426.1	216	N508_RS05610
NZ_CP097562.1	1189587	1190768		minus	acetyl-CoA C-acetyltransferase		0	protein-coding		WP_023275427.1	393	N508_RS05615
NZ_CP097562.1	1190792	1192144		minus	TIGR00366 family protein		0	protein-coding		WP_023275428.1	450	N508_RS05620
NZ_CP097562.1	1192292	1193650		minus	sigma-54 dependent transcriptional regulator		0	protein-coding		WP_023275429.1	452	N508_RS05625
NZ_CP097562.1	1193651	1195141		minus	ATP-binding protein		0	protein-coding		WP_023275430.1	496	N508_RS05630
NZ_CP097562.1	1195194	1196561		minus	protoporphyrinogen oxidase	hemG	0	protein-coding		WP_023275431.1	455	N508_RS05635
NZ_CP097562.1	1196750	1197910		minus	"poly-beta-1,6-N-acetyl-D-glucosamine N-deacetylase PgaB"		0	protein-coding		WP_023275432.1	386	N508_RS05640
NZ_CP097562.1	1197915	1198688		minus	SPOR domain-containing protein		0	protein-coding		WP_023275433.1	257	N508_RS05645
NZ_CP097562.1	1198696	1200351		minus	arginine--tRNA ligase	argS	0	protein-coding		WP_023275434.1	551	N508_RS05650
NZ_CP097562.1	1201350	1202810		minus	sigma-54 dependent transcriptional regulator		0	protein-coding		WP_023275435.1	486	N508_RS05655
NZ_CP097562.1	1202803	1203912		minus	ATP-binding protein		0	protein-coding		WP_023275436.1	369	N508_RS05660
NZ_CP097562.1	1203932	1206571		minus	tetratricopeptide repeat protein		0	protein-coding		WP_023275437.1	879	N508_RS05665
NZ_CP097562.1	1206745	1207815		plus	prephenate dehydratase	pheA	0	protein-coding		WP_023275438.1	356	N508_RS05670
NZ_CP097562.1	1207818	1208915		plus	histidinol-phosphate transaminase	hisC	0	protein-coding		WP_023275439.1	365	N508_RS05675
NZ_CP097562.1	1208939	1209958		plus	3-deoxy-7-phosphoheptulonate synthase	aroF	0	protein-coding		WP_023275440.1	339	N508_RS05680
NZ_CP097562.1	1209961	1210785		plus	prephenate dehydrogenase		0	protein-coding		WP_023275441.1	274	N508_RS05685
NZ_CP097562.1	1211231	1212511		plus	3-phosphoshikimate 1-carboxyvinyltransferase	aroA	0	protein-coding		WP_023275442.1	426	N508_RS05690
NZ_CP097562.1	1212525	1213184		plus	(d)CMP kinase	cmk	0	protein-coding		WP_023275443.1	219	N508_RS05695
NZ_CP097562.1	1213274	1214113		plus	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH	0	protein-coding		WP_023275444.1	279	N508_RS05700
NZ_CP097562.1	1214110	1215783		plus	S1 RNA-binding domain-containing protein		0	protein-coding		WP_023275445.1	557	N508_RS05705
NZ_CP097562.1	1215927	1217411		minus	glucosyltransferase domain-containing protein		0	protein-coding		WP_023275446.1	494	N508_RS05710
NZ_CP097562.1	1218031	1219362		plus	RIP metalloprotease RseP	rseP	0	protein-coding		WP_023275447.1	443	N508_RS05715
NZ_CP097562.1	1219766	1220344		minus	TetR/AcrR family transcriptional regulator		0	protein-coding		WP_023275448.1	192	N508_RS05720
NZ_CP097562.1	1220562	1221716		plus	alanine--glyoxylate aminotransferase family protein		0	protein-coding		WP_023275449.1	384	N508_RS05725
NZ_CP097562.1	1221713	1222825		plus	ATP phosphoribosyltransferase regulatory subunit		0	protein-coding		WP_023275450.1	370	N508_RS05730
NZ_CP097562.1	1222837	1224126		plus	adenylosuccinate synthase		0	protein-coding		WP_023275451.1	429	N508_RS05735
NZ_CP097562.1	1224614	1224689		plus	tRNA-Lys		0	tRNA				N508_RS05740
NZ_CP097562.1	1224706	1224780		plus	tRNA-Glu		0	tRNA				N508_RS05745
NZ_CP097562.1	1224792	1224864		plus	tRNA-Val		0	tRNA				N508_RS05750
NZ_CP097562.1	1224876	1224949		plus	tRNA-Asp		0	tRNA				N508_RS05755
NZ_CP097562.1	1225122	1225673		plus	hypothetical protein		0	protein-coding		WP_023275452.1	183	N508_RS05760
NZ_CP097562.1	1225989	1228295		minus	N-6 DNA methylase		0	protein-coding		WP_040636523.1	768	N508_RS05765
NZ_CP097562.1	1228525	1228740		minus	hypothetical protein		0	protein-coding		WP_023275454.1	71	N508_RS05770
NZ_CP097562.1	1228831	1230681		plus	ABC-F family ATP-binding cassette domain-containing protein		0	protein-coding		WP_231380090.1	616	N508_RS05775
NZ_CP097562.1	1230696	1231388		plus	hypothetical protein		0	protein-coding		WP_023275456.1	230	N508_RS05780
NZ_CP097562.1	1231395	1232072		plus	DNA repair protein RadC	radC	0	protein-coding		WP_023275457.1	225	N508_RS05785
NZ_CP097562.1	1232239	1232529		plus	co-chaperone GroES	groES	0	protein-coding		WP_023275458.1	96	N508_RS05790
NZ_CP097562.1	1232566	1234206		plus	chaperonin GroEL	groL	0	protein-coding		WP_023275459.1	546	N508_RS05795
NZ_CP097562.1	1234615	1235172		plus	hypothetical protein		0	protein-coding		WP_023274985.1	185	N508_RS05800
NZ_CP097562.1	1235103	1235999		plus	IS3 family transposase		0	protein-coding		WP_143815547.1	298	N508_RS05805
NZ_CP097562.1	1236127	1236897		minus	glutamate racemase	murI	0	protein-coding		WP_023275461.1	256	N508_RS05810
NZ_CP097562.1	1237128	1238273		plus	TRAM domain-containing protein		0	protein-coding		WP_179077827.1	381	N508_RS05815
NZ_CP097562.1	1238275	1238742		plus	hypothetical protein		0	protein-coding		WP_023275463.1	155	N508_RS05820
NZ_CP097562.1	1238746	1239321		plus	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	rdgB	0	protein-coding		WP_023275464.1	191	N508_RS05825
NZ_CP097562.1	1239318	1241228		plus	transglycosylase domain-containing protein		0	protein-coding		WP_023275465.1	636	N508_RS05830
NZ_CP097562.1	1241370	1241903		plus	shikimate kinase		0	protein-coding		WP_023275466.1	177	N508_RS05835
NZ_CP097562.1	1241900	1242940		plus	3-dehydroquinate synthase	aroB	0	protein-coding		WP_023275467.1	346	N508_RS05840
NZ_CP097562.1	1243063	1244847		plus	tetratricopeptide repeat protein		0	protein-coding		WP_076654029.1	594	N508_RS05845
NZ_CP097562.1	1244844	1245275		plus	type II 3-dehydroquinate dehydratase	aroQ	0	protein-coding		WP_023275470.1	143	N508_RS05850
NZ_CP097562.1	1245272	1246330		plus	aminopeptidase P family protein		0	protein-coding		WP_023275471.1	352	N508_RS05855
NZ_CP097562.1	1246691	1248226		plus	DASS family sodium-coupled anion symporter		0	protein-coding		WP_023275472.1	511	N508_RS05860
NZ_CP097562.1	1248392	1249459		plus	carboxymuconolactone decarboxylase family protein		0	protein-coding		WP_023275473.1	355	N508_RS05865
NZ_CP097562.1	1249468	1250007		plus	flavodoxin family protein		0	protein-coding		WP_023275474.1	179	N508_RS05870
NZ_CP097562.1	1250070	1250435		plus	uncharacterized gene		0	pseudogene				N508_RS05875
NZ_CP097562.1	1250691	1251572		minus	translation elongation factor Ts	tsf	0	protein-coding		WP_023275476.1	293	N508_RS05880
NZ_CP097562.1	1251572	1252375		minus	30S ribosomal protein S2	rpsB	0	protein-coding		WP_023275477.1	267	N508_RS05885
NZ_CP097562.1	1252729	1253679		plus	prolipoprotein diacylglyceryl transferase	lgt	0	protein-coding		WP_023275478.1	316	N508_RS05890
NZ_CP097562.1	1253731	1254510		plus	type II restriction endonuclease		0	protein-coding		WP_023275479.1	259	N508_RS05895
NZ_CP097562.1	1254510	1255331		plus	Dam family site-specific DNA-(adenine-N6)-methyltransferase		0	protein-coding		WP_023275480.1	273	N508_RS05900
NZ_CP097562.1	1255383	1255931		plus	DJ-1 family glyoxalase III		0	protein-coding		WP_023275481.1	182	N508_RS05905
NZ_CP097562.1	1255952	1256935		plus	MBL fold metallo-hydrolase		0	protein-coding		WP_023275482.1	327	N508_RS05910
NZ_CP097562.1	1256932	1257825		plus	patatin-like phospholipase family protein		0	protein-coding		WP_023275483.1	297	N508_RS05915
NZ_CP097562.1	1258099	1258560		minus	hemerythrin family protein		0	protein-coding		WP_023275484.1	153	N508_RS05920
NZ_CP097562.1	1258557	1260299		minus	hypothetical protein		0	protein-coding		WP_023275485.1	580	N508_RS05925
NZ_CP097562.1	1260618	1260809		minus	50S ribosomal protein L28	rpmB	0	protein-coding		WP_023275486.1	63	N508_RS05930
NZ_CP097562.1	1260891	1261088		plus	DUF1858 domain-containing protein		0	protein-coding		WP_023275487.1	65	N508_RS05935
NZ_CP097562.1	1261103	1261840		plus	tRNA (guanosine(46)-N7)-methyltransferase TrmB	trmB	0	protein-coding		WP_023275488.1	245	N508_RS05940
NZ_CP097562.1	1261842	1262066		plus	hypothetical protein		0	protein-coding		WP_251930590.1	74	N508_RS05945
NZ_CP097562.1	1262090	1263091		plus	NfeD family protein		0	protein-coding		WP_251930591.1	333	N508_RS05950
NZ_CP097562.1	1263092	1264252		plus	TIGR04013 family B12-binding domain/radical SAM domain-containing protein		0	protein-coding		WP_023275490.1	386	N508_RS05955
NZ_CP097562.1	1264240	1264515		plus	DUF493 domain-containing protein		0	protein-coding		WP_023275491.1	91	N508_RS05960
NZ_CP097562.1	1264525	1265136		plus	ankyrin repeat domain-containing protein		0	protein-coding		WP_023275492.1	203	N508_RS05965
NZ_CP097562.1	1265262	1266374		minus	1-deoxy-D-xylulose-5-phosphate reductoisomerase	dxr	0	protein-coding		WP_023275493.1	370	N508_RS05970
NZ_CP097562.1	1266377	1267192		minus	phosphatidate cytidylyltransferase		0	protein-coding		WP_023275494.1	271	N508_RS05975
NZ_CP097562.1	1267201	1267932		minus	isoprenyl transferase		0	protein-coding		WP_023275495.1	243	N508_RS05980
NZ_CP097562.1	1267942	1268751		minus	site-specific DNA-methyltransferase		0	protein-coding		WP_023275496.1	269	N508_RS05985
NZ_CP097562.1	1268751	1269545		minus	hypothetical protein		0	protein-coding		WP_023275497.1	264	N508_RS05990
NZ_CP097562.1	1269551	1270105		minus	ribosome recycling factor	frr	0	protein-coding		WP_023275498.1	184	N508_RS05995
NZ_CP097562.1	1270136	1270846		minus	UMP kinase	pyrH	0	protein-coding		WP_023275499.1	236	N508_RS06000
NZ_CP097562.1	1271667	1272254		minus	signal peptidase I	lepB	0	protein-coding		WP_023275501.1	195	N508_RS06005
NZ_CP097562.1	1272256	1274061		minus	translation elongation factor 4	lepA	0	protein-coding		WP_023275502.1	601	N508_RS06010
NZ_CP097562.1	1274211	1275062		minus	type II restriction endonuclease		0	protein-coding		WP_023275503.1	283	N508_RS06015
NZ_CP097562.1	1275073	1275954		minus	Dam family site-specific DNA-(adenine-N6)-methyltransferase		0	protein-coding		WP_023275504.1	293	N508_RS06020
NZ_CP097562.1	1276064	1276885		minus	tol-pal system protein YbgF	ybgF	0	protein-coding		WP_023275505.1	273	N508_RS06025
NZ_CP097562.1	1276902	1277840		minus	chemotaxis protein		0	protein-coding		WP_023275506.1	312	N508_RS06030
NZ_CP097562.1	1278118	1278225		plus	uncharacterized gene		0	pseudogene				N508_RS10975
NZ_CP097562.1	1278238	1278471		plus	hypothetical protein		0	protein-coding		WP_231380091.1	77	N508_RS06035
NZ_CP097562.1	1278570	1278926		plus	IS30 family transposase		0	protein-coding		WP_143815561.1	118	N508_RS06040
NZ_CP097562.1	1279217	1279990		plus	tRNA (adenine-N1)-methyltransferase		0	protein-coding		WP_023275509.1	257	N508_RS06045
